provide,defense,know,plan,opportunity,welfare,terms,pacific,favorable,recommendation,deemed,science,truly,american,world,laws,federal,treaty,treasury,report,secretary,amount,nation,subject,relations,give,condition,countries,thus,duties,question,revenue,territory,army,economy,several,having,tax,commercial,help,americans,program,care,cost,case,health,annual,budget,appropriations,history,sum,results,minister,million,education,receipts,growth,needs,man,today,bring,social,gold,ask,members,billion,held,keep,operation,want,tonight,payment,portion,programs,operations,serious,march,authorized,problems,reform,silver,believed,extended,notes,income,similar,jobs,lives,except,mail,back,hoped,claim,authorities,articles,live,expenditure,get,propose,interior,pending,issued,enough,cut,reports,circulation,promptly,application,workers,deficit,instead,strengthen,adoption,practicable,improve,december,rendered,commissioner,columbia,imposed,areas,proved,young,occurred,felt,medical,approval,housing,job,postmastergeneral,regarded,fight,goal,removal,savings,territorial,suggestions,basic,consent,research,promise,resulted,instructions,section,lower,specie,choice,decisions,urged,transmitted,around,level,indemnity,ratified,minimum,herewith,existed,chance,notwithstanding,speaker,effected,demanded,expand,coin,adjusted,sovereign,quarters,really,reforms,deem,labors,deficiency,poor,calculated,manifest,choose,brazil,levels,mankind,gone,perform,grave,balanced,redemption,certificates,amicable,commitment,dont,poverty,route,compelled,constitute,manifested,emperor,meantime,absolute,ideals,withdrawn,helped,speed,proceeds,doubted,amendments,exceeding,sinking,expanding,cooperative,recommending,advisable,mountains,ratifications,steamers,ill,amended,presidents,turned,remainder,disturbances,pledged,twenty,intend,taxpayers,disturbance,subsequently,aware,supporting,hospital,spend,commanders,naturalized,resumption,stay,extradition,legation,strive,solve,heard,civilservice,IC
0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0.0015974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
0,0,0,0,0,0.0023502,0.0011751,0,0.0011751,0,0.0011751,0,0,0.0011751,0,0.0011751,0.0011751,0,0.0011751,0,0.0023502,0,0,0.0011751,0,0.0011751,0,0.0011751,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011751,0,0,0,0.0011751,0,0.0011751,0,0,0,0,0,0,0,0,0,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011751,0,0,0.0011751,0,0,0,0,0,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0.00076923,0.00076923,0.0015385,0.00076923,0,0.0023077,0,0,0,0,0,0,0,0,0.0023077,0,0,0.00076923,0,0,0,0.00076923,0.00076923,0,0.0015385,0.00076923,0,0,0.00076923,0,0,0,0,0,0.0023077,0.0015385,0.00076923,0,0,0,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0.00076923,0,0,0.00076923,0.00076923,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0,0,0,0.0015385,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0.0015385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75
0,0,0,0.00082988,0,0,0,0.0024896,0.00082988,0,0.00082988,0,0,0,0,0.0041494,0,0.0016598,0,0,0,0,0.0024896,0.0049793,0,0.00082988,0.0024896,0,0.00082988,0.00082988,0.00082988,0.00082988,0.00082988,0,0,0,0.0016598,0,0,0,0,0,0,0,0.0016598,0,0.0016598,0,0,0,0,0.00082988,0,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0,0.0016598,0.0016598,0,0.00082988,0,0,0.0016598,0,0,0.00082988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0,0.00082988,0,0.0016598,0,0,0,0.0016598,0,0.00082988,0,0,0,0.00082988,0.00082988,0.00082988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0.0016598,0,0,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0,0.00082988,0,0,0,0,0,0,0.00082988,0.00082988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4
0,0.0047059,0,0,0,0,0.00078431,0,0,0,0,0,0.00078431,0.00078431,0,0,0,0.0070588,0,0,0,0,0.0015686,0.00078431,0,0.00078431,0,0.0023529,0,0,0.0015686,0,0.0015686,0,0,0,0.0015686,0,0.0015686,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0.0015686,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0.00078431,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0.00078431,0,0,0,0,0,0,0,0,0,0,0,0,2.5
0,0.0015337,0,0,0,0,0.00076687,0.00076687,0,0,0,0,0.00076687,0.00076687,0.00076687,0.0023006,0,0.0046012,0,0,0,0,0.00076687,0.0015337,0,0.0030675,0,0,0.00076687,0.00076687,0.0015337,0.00076687,0,0,0,0.00076687,0.00076687,0.00076687,0,0,0,0,0,0,0,0.0015337,0.00076687,0,0.00076687,0,0,0,0.0023006,0,0,0.00076687,0,0,0,0,0.00076687,0,0,0,0,0,0,0,0.00076687,0,0,0,0.00076687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076687,0,0,0,0,0,0,0,0.00076687,0,0,0,0,0,0,0.0015337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076687,0,0,0,0,0,0.00076687,0,0,0,0,0.00076687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75
0.0011211,0.0011211,0,0,0,0,0.0011211,0.0011211,0,0,0.0011211,0,0,0.0022422,0.0033632,0.0033632,0,0.0044843,0,0.0022422,0,0,0.0022422,0.0033632,0.0011211,0.0011211,0,0.0011211,0.0011211,0.0011211,0,0.0011211,0,0,0.0011211,0,0,0,0.0011211,0,0,0,0.0011211,0,0,0.0011211,0,0,0.0011211,0,0,0,0.0022422,0,0,0,0,0,0,0,0.0011211,0,0,0,0.0022422,0,0,0,0,0,0,0,0.0011211,0,0,0.0011211,0,0,0,0,0,0,0.0011211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011211,0,0.0011211,0.0011211,0,0,0,0,0,0,0,0.0011211,0,0,0,0,0,0,0,0,0.0011211,0,0,0,0,0.0011211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011211,0,0,0,0,0,0,0,0,0,0,0,0.0022422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
0.0011976,0.0011976,0,0,0,0,0,0.0011976,0,0,0,0,0,0,0.0011976,0.0047904,0.0011976,0.0035928,0,0,0,0,0.0023952,0.0023952,0,0.0011976,0,0,0,0,0,0.0023952,0.0023952,0.0011976,0.0011976,0,0,0,0.0011976,0,0,0,0,0,0.0011976,0,0,0,0.0023952,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0,0.0011976,0,0,0,0,0,0.0011976,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0.0011976,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0.0011976,0,0.0011976,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
0.0005015,0.0015045,0.0005015,0,0.0005015,0,0,0,0.0005015,0,0.0005015,0,0,0,0.001003,0.0025075,0,0,0.001003,0,0.001003,0.001003,0.002006,0.0035105,0.0015045,0,0.001003,0,0,0.0005015,0,0.002006,0,0.001003,0,0.001003,0.0005015,0,0,0,0,0,0.001003,0.001003,0,0,0.0005015,0,0.0005015,0,0.0005015,0,0,0,0,0.0005015,0.0005015,0,0,0,0,0,0,0.0005015,0,0,0,0,0,0.0005015,0,0,0.001003,0,0,0,0,0,0,0,0,0.0005015,0.001003,0,0.0005015,0,0,0,0,0,0.0005015,0,0,0.0005015,0.001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005015,0,0,0,0.0005015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005015,0,0,0,0.0005015,0.0005015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875
0.00073584,0.00073584,0,0,0,0,0,0,0,0,0.0014717,0,0,0.0014717,0,0,0.00073584,0.00073584,0.0014717,0,0.0022075,0.00073584,0.0022075,0.0014717,0.00073584,0.00073584,0.00073584,0.00073584,0.00073584,0.0036792,0,0,0.0014717,0,0.0022075,0,0.00073584,0.0014717,0,0,0,0,0.00073584,0.00073584,0,0,0.00073584,0,0.00073584,0,0.0022075,0,0,0,0,0.0014717,0,0,0.0014717,0,0,0,0,0,0,0,0,0.00073584,0,0.00073584,0,0,0.0014717,0,0,0,0,0.00073584,0,0,0,0,0,0,0.00073584,0.00073584,0,0,0,0,0,0.00073584,0,0,0,0,0.00073584,0,0,0,0,0,0,0,0,0,0,0.00073584,0,0,0.00073584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00073584,0.00073584,0,0.00073584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
