,provide,defense,know,plan,opportunity,welfare,terms,pacific,favorable,recommendation,deemed,science,truly,its,upon,more,were,must,under,american,had,us,world,do,during,make,nation,subject,two,much,what,laws,federal,treaty,treasury,report,secretary,amount,up,relations,give,condition,because,way,countries,thus,duties,mexico,question,revenue,territory,army,economy,several,having,tax,commercial,help,americans,program,june,here,next,come,care,cost,case,health,annual,budget,appropriations,let,history,sum,results,minister,million,education,receipts,growth,needs,man,today,bring,social,gold,ask,members,billion,held,keep,operation,want,tonight,payment,portion,programs,operations,cannot,down,serious,march,authorized,problems,july,reform,silver,believed,extended,notes,income,similar,jobs,lives,except,mail,back,used,hoped,claim,authorities,articles,live,expenditure,get,propose,interior,pending,issued,enough,cut,reports,circulation,promptly,application,workers,deficit,instead,strengthen,adoption,practicable,improve,december,rendered,commissioner,columbia,imposed,areas,proved,young,occurred,felt,medical,approval,housing,job,postmastergeneral,november,regarded,fight,goal,removal,savings,territorial,suggestions,basic,consent,research,promise,resulted,instructions,section,lower,specie,choice,decisions,urged,transmitted,around,level,indemnity,york,ratified,minimum,herewith,existed,chance,notwithstanding,speaker,effected,demanded,expand,coin,adjusted,sovereign,quarters,really,reforms,deem,labors,deficiency,poor,calculated,manifest,choose,brazil,levels,mankind,gone,perform,grave,balanced,redemption,certificates,amicable,commitment,dont,poverty,route,compelled,constitute,manifested,emperor,asking,meantime,absolute,ideals,withdrawn,helped,speed,proceeds,doubted,amendments,exceeding,sinking,expanding,cooperative,recommending,advisable,mountains,ratifications,steamers,ill,amended,presidents,turned,remainder,disturbances,pledged,twenty,intend,utah,taxpayers,disturbance,subsequently,aware,supporting,hospital,spend,commanders,naturalized,resumption,stay,extradition,legation,strive,solve,heard,civilservice,IC
0,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0015974000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
1,0.0,0.0,0.0,0.0,0.0,0.0023501999999999998,0.0011750999999999999,0.0,0.0011750999999999999,0.0,0.0011750999999999999,0.0,0.0,0.0047003999999999995,0.0,0.011751000000000001,0.0023501999999999998,0.0,0.0023501999999999998,0.0011750999999999999,0.0011750999999999999,0.0094007,0.0,0.0011750999999999999,0.0,0.0023501999999999998,0.0,0.0011750999999999999,0.0,0.0011750999999999999,0.0011750999999999999,0.0011750999999999999,0.0011750999999999999,0.0,0.0011750999999999999,0.0,0.0023501999999999998,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0011750999999999999,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0023501999999999998,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011750999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2,0.0,0.00076923,0.00076923,0.0015385,0.00076923,0.0,0.0023076999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0023076999999999998,0.006923100000000001,0.0023076999999999998,0.0038461999999999997,0.0023076999999999998,0.0046153999999999995,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0015385,0.00076923,0.00076923,0.0015385,0.0,0.0,0.0023076999999999998,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0015385,0.00076923,0.0,0.00076923,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0023076999999999998,0.0015385,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.00076923,0.0,0.0,0.0015385,0.00076923,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0015385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75
3,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0024896000000000002,0.00082988,0.0,0.00082988,0.0,0.0,0.0016598,0.0091286,0.0058091,0.0024896000000000002,0.0016598,0.0033195,0.0,0.0,0.0,0.0,0.0,0.0016598,0.0,0.0024896000000000002,0.0049793,0.0,0.0,0.0,0.0041494,0.0,0.0016598,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0024896000000000002,0.0,0.0,0.0,0.00082988,0.00082988,0.0,0.00082988,0.00082988,0.00082988,0.0,0.0,0.0,0.0016598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016598,0.0,0.0016598,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016598,0.0016598,0.0,0.00082988,0.0,0.0,0.0016598,0.0,0.0,0.0,0.0,0.00082988,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0016598,0.0,0.0,0.0,0.0016598,0.0,0.00082988,0.0,0.0,0.0,0.00082988,0.00082988,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0016598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.00082988,0.00082988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
4,0.0,0.0047059,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0023529,0.0039216,0.0023529,0.0023529,0.0015686,0.0047059,0.00078431,0.0015686,0.0015686,0.0,0.0,0.00078431,0.0015686,0.0015686,0.00078431,0.0015686,0.0039216,0.0015686,0.0,0.0,0.0070588000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0015686,0.0,0.0023529,0.0,0.0,0.0,0.0015686,0.0,0.0015686,0.0,0.0,0.0,0.0015686,0.0,0.0015686,0.0,0.0,0.0,0.00078431,0.0,0.0015686,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.00078431,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
5,0.0,0.0015337,0.0,0.0,0.0,0.0,0.00076687,0.00076687,0.0,0.0,0.0,0.0,0.00076687,0.006135,0.0,0.0023006,0.0015337,0.00076687,0.0023006,0.00076687,0.0015337,0.0023006,0.00076687,0.0015337,0.0015337,0.00076687,0.00076687,0.0015337,0.0,0.0,0.0023006,0.0023006,0.0,0.0046012,0.0,0.0,0.0,0.0,0.0,0.0,0.0030675,0.0,0.0,0.0,0.0,0.00076687,0.00076687,0.0,0.0015337,0.00076687,0.0,0.0,0.0,0.00076687,0.00076687,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0015337,0.00076687,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0023006,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0015337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75
6,0.0011210999999999999,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0011210999999999999,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0033632,0.0011210999999999999,0.0,0.005605399999999999,0.0022421999999999997,0.0044843,0.0022421999999999997,0.0022421999999999997,0.0011210999999999999,0.0033632,0.0,0.0011210999999999999,0.0,0.0022421999999999997,0.0033632,0.0,0.0,0.0,0.0033632,0.0,0.0044843,0.0,0.0022421999999999997,0.0,0.0,0.0,0.0011210999999999999,0.0011210999999999999,0.0,0.0,0.0,0.0011210999999999999,0.0011210999999999999,0.0011210999999999999,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0011210999999999999,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0022421999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0022421999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0011210999999999999,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011210999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022421999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
7,0.0011975999999999998,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004790399999999999,0.0023951999999999997,0.0011975999999999998,0.0011975999999999998,0.0,0.0011975999999999998,0.005988,0.0011975999999999998,0.0,0.0023951999999999997,0.0,0.0023951999999999997,0.0023951999999999997,0.0,0.0023951999999999997,0.0,0.004790399999999999,0.0011975999999999998,0.0035928000000000006,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023951999999999997,0.0023951999999999997,0.0011975999999999998,0.0011975999999999998,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0023951999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
8,0.0005015,0.0015045,0.0005015,0.0,0.0005015,0.0,0.0,0.0,0.0005015,0.0,0.0005015,0.0,0.0,0.0045135,0.0,0.003009,0.003009,0.0005015,0.0025074999999999997,0.0,0.0045135,0.0035104999999999997,0.001003,0.001003,0.0005015,0.0005015,0.002006,0.0035104999999999997,0.001003,0.0025074999999999997,0.0025074999999999997,0.0025074999999999997,0.0,0.0,0.001003,0.0,0.001003,0.001003,0.0025074999999999997,0.0015045,0.0,0.001003,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.002006,0.0,0.001003,0.0,0.001003,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0,0.001003,0.0,0.001003,0.001003,0.001003,0.0,0.0,0.0005015,0.0,0.0005015,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0,0.0005015,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.001003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015,0.001003,0.0,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0005015,0.001003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0005015,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875
9,0.00073584,0.00073584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014717,0.0,0.0,0.0036792,0.0,0.0014717,0.0014717,0.0,0.0051508000000000005,0.0014717,0.0029433000000000003,0.0029433000000000003,0.0,0.0,0.00073584,0.0036792,0.0022075,0.0014717,0.0014717,0.00073584,0.0022075,0.0,0.00073584,0.00073584,0.0014717,0.0,0.0022075,0.00073584,0.0029433000000000003,0.00073584,0.00073584,0.00073584,0.0,0.00073584,0.00073584,0.00073584,0.0036792,0.0,0.0,0.0,0.0014717,0.0,0.0022075,0.0,0.00073584,0.0014717,0.0,0.0,0.0,0.0,0.0,0.0029433000000000003,0.0,0.00073584,0.00073584,0.00073584,0.0,0.0,0.00073584,0.0,0.00073584,0.0,0.0,0.0022075,0.0,0.0,0.0,0.0,0.0014717,0.0,0.0,0.0014717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00073584,0.0,0.00073584,0.0,0.0,0.0014717,0.0,0.0,0.0,0.0,0.0,0.0,0.00073584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00073584,0.00073584,0.0,0.0,0.0,0.0,0.0,0.00073584,0.00073584,0.0,0.0,0.0,0.0,0.00073584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00073584,0.0,0.0,0.00073584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00073584,0.00073584,0.0,0.0,0.00073584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
